date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,entry_fut,exit_ce,exit_pe,exit_fut,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260323,2026-03-23 11:29:00+05:30,2026-03-23 11:30:00+05:30,1,-1 (long synth),52300,857.25,1325.0,51871.2,853.5,1273.7,51879.8,-38.95,-0.0,30,1168.5,1178.98,-10.48,Revert,2026-03
20260323,2026-03-23 12:38:00+05:30,2026-03-23 12:42:00+05:30,4,+1 (short synth),52300,873.8,1315.75,51830.4,863.85,1353.35,51807.8,27.65,2.7,30,748.5,1178.81,-430.31,Revert,2026-03
20260323,2026-03-23 12:53:00+05:30,2026-03-23 12:58:00+05:30,5,+1 (short synth),52300,850.45,1376.75,51748.4,835.85,1423.0,51716.0,25.3,-3.15,30,853.5,1180.09,-326.59,Revert,2026-03
20260323,2026-03-23 13:04:00+05:30,2026-03-23 13:06:00+05:30,2,+1 (short synth),52300,842.35,1419.85,51695.2,845.5,1420.2,51722.2,27.3,3.1,30,726.0,1181.68,-455.68,Revert,2026-03
20260323,2026-03-23 13:12:00+05:30,2026-03-23 13:18:00+05:30,6,+1 (short synth),52300,829.3,1444.6,51657.8,838.25,1412.2,51727.6,26.9,-1.55,30,853.5,1181.87,-328.37,Revert,2026-03
20260323,2026-03-23 13:29:00+05:30,2026-03-23 13:31:00+05:30,2,+1 (short synth),52300,859.95,1375.75,51754.8,884.5,1346.45,51837.2,29.4,0.85,30,856.5,1180.8,-324.3,Revert,2026-03
20260323,2026-03-23 13:34:00+05:30,2026-03-23 13:35:00+05:30,1,+1 (short synth),52300,892.3,1334.75,51825.0,891.6,1335.5,51852.8,32.55,3.3,30,877.5,1181.38,-303.88,Revert,2026-03
20260323,2026-03-23 13:36:00+05:30,2026-03-23 13:38:00+05:30,2,+1 (short synth),52300,907.45,1315.0,51867.2,891.0,1331.9,51858.4,25.25,0.7,30,736.5,1181.77,-445.27,Revert,2026-03
20260323,2026-03-23 14:10:00+05:30,2026-03-23 14:13:00+05:30,3,+1 (short synth),52300,954.9,1197.9,52015.6,940.0,1220.0,52016.0,41.4,4.0,30,1122.0,1179.34,-57.34,Revert,2026-03
20260323,2026-03-23 14:24:00+05:30,2026-03-23 14:33:00+05:30,9,+1 (short synth),52300,920.0,1224.2,51969.0,763.65,1443.9,51616.0,26.8,3.75,30,691.5,1177.93,-486.43,Revert,2026-03
20260323,2026-03-23 14:37:00+05:30,2026-03-23 14:41:00+05:30,4,+1 (short synth),52300,829.65,1300.4,51800.0,796.7,1352.5,51740.0,29.25,4.2,30,751.5,1174.05,-422.55,Revert,2026-03
20260323,2026-03-23 14:45:00+05:30,2026-03-23 14:46:00+05:30,1,+1 (short synth),52300,834.65,1309.25,51786.2,828.75,1328.6,51795.8,39.2,4.35,30,1045.5,1174.8,-129.3,Revert,2026-03
20260323,2026-03-23 14:50:00+05:30,2026-03-23 14:52:00+05:30,2,+1 (short synth),52300,862.55,1260.75,51876.0,855.45,1265.05,51894.8,25.8,-4.4,30,906.0,1174.87,-268.87,Revert,2026-03
20260323,2026-03-23 15:11:00+05:30,2026-03-23 15:13:00+05:30,2,+1 (short synth),52300,751.5,1394.4,51628.4,718.95,1469.65,51549.6,28.7,-0.3,30,870.0,1172.26,-302.26,Revert,2026-03
20260324,2026-03-24 09:43:00+05:30,2026-03-24 09:59:00+05:30,16,+1 (short synth),52600,760.0,1097.6,52235.6,765.5,1067.95,52294.0,26.8,3.55,30,697.5,1162.07,-464.57,Revert,2026-03
20260324,2026-03-24 10:24:00+05:30,2026-03-24 10:35:00+05:30,11,+1 (short synth),52600,748.0,1050.75,52267.8,627.5,1213.0,52011.0,29.45,3.5,30,778.5,1158.43,-379.93,Revert,2026-03
20260324,2026-03-24 10:39:00+05:30,2026-03-24 10:40:00+05:30,1,+1 (short synth),52600,602.1,1265.15,51906.2,602.15,1281.9,51919.0,30.75,1.25,30,885.0,1157.16,-272.16,Revert,2026-03
20260324,2026-03-24 10:41:00+05:30,2026-03-24 10:46:00+05:30,5,+1 (short synth),52600,620.65,1229.55,51958.6,623.7,1228.55,51997.2,32.5,-2.05,30,1036.5,1156.84,-120.34,Revert,2026-03
