date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260102,CE,26150,2026-01-02 15:01:00.294000+05:30,2026-01-02 15:25:58.680000+05:30,183.5,197.5,200.75,65,910.0,77.24,832.76,EOD,2026-01
20260105,PE,26350,2026-01-05 11:24:00.325000+05:30,2026-01-05 13:50:19.356000+05:30,69.8,109.6,109.6,65,2587.0,62.93,2524.07,DPT,2026-01
20260106,PE,26250,2026-01-06 10:38:01.361000+05:30,2026-01-06 11:20:20.903000+05:30,60.8,100.45,100.45,65,2577.25,61.53,2515.72,DPT,2026-01
20260107,CE,26100,2026-01-07 14:46:00.339000+05:30,2026-01-07 15:25:58.715000+05:30,121.6,131.95,138.4,65,672.75,67.24,605.51,EOD,2026-01
20260107,PE,26100,2026-01-07 11:55:00.098000+05:30,2026-01-07 14:54:00.642000+05:30,75.45,72.3,94.0,65,-204.75,58.44,-263.19,Flip,2026-01
20260108,PE,26100,2026-01-08 15:04:01.021000+05:30,2026-01-08 15:25:59.679000+05:30,209.25,216.85,227.85,65,494.0,80.41,413.59,EOD,2026-01
20260113,PE,25850,2026-01-13 11:54:00.781000+05:30,2026-01-13 12:14:53.532000+05:30,101.55,141.8,141.8,65,2616.25,67.88,2548.37,DPT,2026-01
20260114,CE,25650,2026-01-14 14:46:00.180000+05:30,2026-01-14 15:25:58.981000+05:30,154.5,147.3,167.0,65,-468.0,70.12,-538.12,EOD,2026-01
20260114,PE,25650,2026-01-14 13:25:00.457000+05:30,2026-01-14 13:55:00.206000+05:30,84.25,123.75,123.75,65,2567.5,65.12,2502.38,DPT,2026-01
20260116,PE,25700,2026-01-16 11:14:00.058000+05:30,2026-01-16 13:25:05.100000+05:30,57.4,97.5,97.5,65,2606.5,61.06,2545.44,DPT,2026-01
20260119,CE,25550,2026-01-19 11:04:00.188000+05:30,2026-01-19 12:49:00.375000+05:30,91.55,57.2,92.55,65,-2232.75,57.03,-2289.78,Flip,2026-01
20260119,CE,25550,2026-01-19 12:58:00.538000+05:30,2026-01-19 14:14:00+05:30,75.25,98.0,131.4,65,1478.75,61.64,1417.11,EOD,2026-01
20260120,PE,25550,2026-01-20 12:06:00.307000+05:30,2026-01-20 13:35:31.258000+05:30,109.2,149.25,149.25,65,2603.25,69.04,2534.21,DPT,2026-01
20260121,CE,25150,2026-01-21 11:14:01.086000+05:30,2026-01-21 12:18:17.395000+05:30,143.3,182.95,182.95,65,2577.25,74.25,2503.0,DPT,2026-01
20260121,PE,25150,2026-01-21 13:26:00.493000+05:30,2026-01-21 15:25:59.795000+05:30,129.1,146.1,164.65,65,1105.0,69.23,1035.77,EOD,2026-01
20260122,CE,25350,2026-01-22 11:26:00.427000+05:30,2026-01-22 13:15:00.549000+05:30,122.55,80.85,122.55,65,-2710.5,60.89,-2771.39,Flip,2026-01
20260122,CE,25350,2026-01-22 14:32:00.097000+05:30,2026-01-22 15:25:59.352000+05:30,102.7,132.9,142.65,65,1963.0,66.81,1896.19,EOD,2026-01
20260123,CE,25300,2026-01-23 12:44:00.342000+05:30,2026-01-23 13:13:01.036000+05:30,88.8,66.25,94.0,65,-1465.75,58.08,-1523.83,Flip,2026-01
20260123,PE,25300,2026-01-23 13:17:00.018000+05:30,2026-01-23 13:30:27.700000+05:30,158.0,204.3,204.3,65,3009.5,77.34,2932.16,DPT,2026-01
20260127,CE,25100,2026-01-27 11:42:00.595000+05:30,2026-01-27 11:44:52.465000+05:30,82.0,121.65,121.65,65,2577.25,64.79,2512.46,DPT,2026-01
20260127,PE,25100,2026-01-27 10:42:00.031000+05:30,2026-01-27 10:53:11.017000+05:30,96.2,135.8,135.8,65,2574.0,66.98,2507.02,DPT,2026-01
20260128,CE,25300,2026-01-28 11:05:00.736000+05:30,2026-01-28 11:45:00.510000+05:30,257.95,240.05,277.9,65,-1163.5,84.74,-1248.24,Flip,2026-01
20260128,CE,25300,2026-01-28 14:46:01.346000+05:30,2026-01-28 15:25:59.898000+05:30,208.0,248.1,256.5,65,2606.5,84.28,2522.22,EOD,2026-01
