date,pair,direction,entry_ts,exit_ts,hold_secs,entry_msp,exit_close_msp,entry_exec,exit_exec,lot_size,units,gross_pnl,exit_why,cum_pnl
20260201,"(+0,+1)",1,2026-02-01 11:08:46+05:30,2026-02-01 11:08:47+05:30,1.0,9.72,15.35,59.72,34.65,65,130,3259.75,Revert,119011.75
20260201,"(+0,+1)",-1,2026-02-01 11:08:47+05:30,2026-02-01 11:08:48+05:30,1.0,15.35,-0.7,34.65,49.28,65,130,1901.25,Revert,120913.0
20260201,"(-1,+0)",1,2026-02-01 11:42:44+05:30,2026-02-01 11:42:48+05:30,4.0,8.6,-0.75,58.6,50.75,65,130,1020.5,Revert,121933.5
20260201,"(-1,+1)",1,2026-02-01 11:55:38+05:30,2026-02-01 11:55:39+05:30,1.0,8.65,3.5,108.65,96.55,65,130,1573.0,Revert,123506.5
20260201,"(-1,+0)",1,2026-02-01 12:07:42+05:30,2026-02-01 12:07:43+05:30,1.0,14.95,-0.2,64.95,50.22,65,130,1914.25,Revert,125420.75
20260201,"(+0,+1)",-1,2026-02-01 12:08:33+05:30,2026-02-01 12:08:35+05:30,2.0,10.22,5.95,39.78,55.92,65,130,2099.5,Revert,127520.25
20260201,"(-1,+0)",-1,2026-02-01 12:11:48+05:30,2026-02-01 12:11:51+05:30,3.0,12.8,1.6,37.2,51.58,65,130,1868.75,Revert,129389.0
20260201,"(-1,+1)",1,2026-02-01 12:11:57+05:30,2026-02-01 12:11:58+05:30,1.0,9.78,0.85,109.78,99.22,65,130,1371.5,Revert,130760.5
20260201,"(+0,+1)",-1,2026-02-01 12:12:00+05:30,2026-02-01 12:12:02+05:30,2.0,8.25,0.3,41.75,50.25,65,130,1105.0,Revert,131865.5
20260201,"(+0,+1)",1,2026-02-01 12:12:27+05:30,2026-02-01 12:12:29+05:30,2.0,10.25,-0.15,60.25,50.17,65,130,1309.75,Revert,133175.25
20260201,"(-1,+1)",-1,2026-02-01 12:16:58+05:30,2026-02-01 12:16:59+05:30,1.0,8.62,-0.45,91.38,99.48,65,130,1053.0,Revert,134228.25
20260201,"(-1,+1)",-1,2026-02-01 12:18:53+05:30,2026-02-01 12:18:54+05:30,1.0,9.2,-0.1,90.8,99.9,65,130,1183.0,Revert,135411.25
20260201,"(-1,+0)",-1,2026-02-01 12:19:53+05:30,2026-02-01 12:19:54+05:30,1.0,11.35,0.65,38.65,50.62,65,130,1556.75,Revert,136968.0
20260201,"(-1,+1)",1,2026-02-01 12:20:09+05:30,2026-02-01 12:20:12+05:30,3.0,15.12,3.25,115.12,96.77,65,130,2385.5,Revert,139353.5
20260201,"(-1,+0)",-1,2026-02-01 12:20:19+05:30,2026-02-01 12:20:21+05:30,2.0,10.0,0.05,40.0,50.05,65,130,1306.5,Revert,140660.0
20260201,"(-1,+1)",-1,2026-02-01 12:20:22+05:30,2026-02-01 12:20:23+05:30,1.0,8.1,2.75,91.9,102.62,65,130,1394.25,Revert,142054.25
20260201,"(-1,+1)",-1,2026-02-01 12:20:24+05:30,2026-02-01 12:20:26+05:30,2.0,9.1,0.4,90.9,100.4,65,130,1235.0,Revert,143289.25
20260201,"(-1,+1)",1,2026-02-01 12:20:28+05:30,2026-02-01 12:20:31+05:30,3.0,9.8,-0.15,109.8,100.15,65,130,1254.5,Revert,144543.75
20260201,"(+0,+1)",1,2026-02-01 12:27:44+05:30,2026-02-01 12:27:45+05:30,1.0,11.8,-0.5,61.8,50.52,65,130,1465.75,Revert,146009.5
20260201,"(-1,+0)",1,2026-02-01 12:30:11+05:30,2026-02-01 12:30:12+05:30,1.0,12.8,-0.05,62.8,50.05,65,130,1657.5,Revert,147667.0
20260201,"(-1,+0)",1,2026-02-01 12:30:18+05:30,2026-02-01 12:30:20+05:30,2.0,11.43,2.45,61.43,47.58,65,130,1800.5,Revert,149467.5
20260201,"(+0,+1)",1,2026-02-01 12:30:23+05:30,2026-02-01 12:30:25+05:30,2.0,14.95,7.65,64.95,42.35,65,130,2938.0,Revert,152405.5
20260201,"(-1,+0)",1,2026-02-01 12:30:25+05:30,2026-02-01 12:30:29+05:30,4.0,11.75,1.95,61.75,48.05,65,130,1781.0,Revert,154186.5
20260201,"(+0,+1)",1,2026-02-01 12:31:13+05:30,2026-02-01 12:31:18+05:30,5.0,9.65,6.15,59.65,43.85,65,130,2054.0,Revert,156240.5
20260201,"(-1,+0)",1,2026-02-01 12:31:18+05:30,2026-02-01 12:31:25+05:30,7.0,9.48,0.5,59.48,49.52,65,130,1293.5,Revert,157534.0
20260201,"(-1,+0)",1,2026-02-01 12:31:33+05:30,2026-02-01 12:31:40+05:30,7.0,15.18,1.4,65.18,48.98,65,130,2106.0,Revert,159640.0
20260201,"(+0,+1)",1,2026-02-01 12:31:43+05:30,2026-02-01 12:31:45+05:30,2.0,27.17,2.8,77.17,47.2,65,130,3896.75,Revert,163536.75
20260201,"(-1,+1)",1,2026-02-01 12:31:52+05:30,2026-02-01 12:31:56+05:30,4.0,9.85,-0.05,109.85,100.05,65,130,1274.0,Revert,164810.75
20260201,"(-1,+1)",1,2026-02-01 12:32:05+05:30,2026-02-01 12:32:09+05:30,4.0,14.75,2.95,114.75,97.07,65,130,2297.75,Revert,167108.5
20260201,"(-1,+1)",1,2026-02-01 12:32:10+05:30,2026-02-01 12:32:11+05:30,1.0,14.95,0.55,114.95,100.1,65,130,1930.5,Revert,169039.0
20260201,"(-1,+0)",1,2026-02-01 12:32:23+05:30,2026-02-01 12:32:25+05:30,2.0,10.62,-0.45,60.62,50.5,65,130,1316.25,Revert,170355.25
20260201,"(-1,+0)",-1,2026-02-01 12:32:43+05:30,2026-02-01 12:32:45+05:30,2.0,11.58,-0.1,38.42,49.88,65,130,1488.5,Revert,171843.75
20260201,"(+0,+1)",1,2026-02-01 12:33:03+05:30,2026-02-01 12:33:19+05:30,16.0,12.47,0.5,62.47,49.52,65,130,1683.5,Revert,173527.25
20260201,"(+0,+1)",-1,2026-02-01 12:33:25+05:30,2026-02-01 12:33:26+05:30,1.0,13.1,-0.65,36.9,49.35,65,130,1618.5,Revert,175145.75
20260201,"(-1,+0)",-1,2026-02-01 12:33:28+05:30,2026-02-01 12:33:29+05:30,1.0,14.42,-0.5,35.58,49.48,65,130,1807.0,Revert,176952.75
20260201,"(-1,+0)",1,2026-02-01 12:33:43+05:30,2026-02-01 12:34:00+05:30,17.0,10.65,-0.8,60.65,50.8,65,130,1280.5,Revert,178233.25
20260201,"(-1,+0)",-1,2026-02-01 12:34:05+05:30,2026-02-01 12:34:07+05:30,2.0,9.73,0.7,40.27,50.63,65,130,1345.5,Revert,179578.75
20260201,"(-1,+1)",1,2026-02-01 12:34:07+05:30,2026-02-01 12:34:10+05:30,3.0,9.33,3.55,109.33,96.88,65,130,1618.5,Revert,181197.25
20260201,"(+0,+1)",1,2026-02-01 12:34:17+05:30,2026-02-01 12:34:18+05:30,1.0,11.7,-0.9,61.7,50.92,65,130,1400.75,Revert,182598.0
20260201,"(+0,+1)",-1,2026-02-01 12:34:19+05:30,2026-02-01 12:34:20+05:30,1.0,9.3,3.25,40.7,53.23,65,130,1628.25,Revert,184226.25
20260201,"(+0,+1)",1,2026-02-01 12:34:34+05:30,2026-02-01 12:34:35+05:30,1.0,12.33,8.65,62.33,41.35,65,130,2726.75,Revert,186953.0
20260201,"(-1,+1)",-1,2026-02-01 12:34:35+05:30,2026-02-01 12:34:37+05:30,2.0,9.55,6.35,90.45,106.28,65,130,2057.25,Revert,189010.25
20260201,"(-1,+0)",-1,2026-02-01 12:35:05+05:30,2026-02-01 12:35:10+05:30,5.0,8.0,0.7,42.0,50.7,65,130,1131.0,Revert,190141.25
20260201,"(-1,+1)",-1,2026-02-01 12:35:30+05:30,2026-02-01 12:35:31+05:30,1.0,8.85,-0.8,91.15,98.9,65,130,1007.5,Revert,191148.75
20260201,"(-1,+1)",1,2026-02-01 12:36:05+05:30,2026-02-01 12:36:07+05:30,2.0,8.18,-0.65,108.18,100.65,65,130,978.25,Revert,192127.0
20260201,"(+0,+1)",1,2026-02-01 12:36:42+05:30,2026-02-01 12:36:51+05:30,9.0,13.07,0.25,63.07,49.78,65,130,1729.0,Revert,193856.0
20260201,"(-1,+0)",-1,2026-02-01 12:36:53+05:30,2026-02-01 12:36:54+05:30,1.0,11.22,0.15,38.78,50.15,65,130,1478.75,Revert,195334.75
20260201,"(-1,+1)",1,2026-02-01 12:36:55+05:30,2026-02-01 12:36:56+05:30,1.0,8.75,1.45,108.75,98.57,65,130,1322.75,Revert,196657.5
20260201,"(-1,+1)",1,2026-02-01 12:37:00+05:30,2026-02-01 12:37:01+05:30,1.0,9.65,7.15,109.65,92.85,65,130,2184.0,Revert,198841.5
20260201,"(-1,+0)",-1,2026-02-01 12:37:01+05:30,2026-02-01 12:37:03+05:30,2.0,10.85,4.0,39.15,53.97,65,130,1927.25,Revert,200768.75
20260201,"(-1,+0)",-1,2026-02-01 12:37:21+05:30,2026-02-01 12:37:22+05:30,1.0,8.15,2.1,41.85,51.82,65,130,1296.75,Revert,202065.5
20260201,"(-1,+1)",1,2026-02-01 12:37:22+05:30,2026-02-01 12:37:28+05:30,6.0,8.52,1.55,108.52,98.45,65,130,1309.75,Revert,203375.25
20260201,"(+0,+1)",1,2026-02-01 12:37:30+05:30,2026-02-01 12:37:31+05:30,1.0,9.55,0.35,59.55,49.7,65,130,1280.5,Revert,204655.75
20260201,"(-1,+1)",1,2026-02-01 12:37:34+05:30,2026-02-01 12:37:36+05:30,2.0,8.97,1.7,108.97,98.32,65,130,1384.5,Revert,206040.25
20260201,"(-1,+0)",1,2026-02-01 12:37:42+05:30,2026-02-01 12:37:45+05:30,3.0,8.2,-0.2,58.2,50.2,65,130,1040.0,Revert,207080.25
20260201,"(-1,+0)",-1,2026-02-01 12:37:47+05:30,2026-02-01 12:37:50+05:30,3.0,14.15,1.6,35.85,51.57,65,130,2044.25,Revert,209124.5
20260201,"(+0,+1)",1,2026-02-01 12:38:30+05:30,2026-02-01 12:38:39+05:30,9.0,10.95,-0.9,60.95,50.9,65,130,1306.5,Revert,210431.0
20260201,"(-1,+1)",1,2026-02-01 12:38:52+05:30,2026-02-01 12:38:54+05:30,2.0,9.8,0.75,109.8,99.3,65,130,1365.0,Revert,211796.0
20260201,"(-1,+1)",-1,2026-02-01 12:39:42+05:30,2026-02-01 12:39:47+05:30,5.0,12.18,6.5,87.82,106.5,65,130,2427.75,Revert,214223.75
20260201,"(-1,+1)",-1,2026-02-01 12:41:07+05:30,2026-02-01 12:41:08+05:30,1.0,8.7,1.8,91.3,101.77,65,130,1361.75,Revert,215585.5
