date,leg,entry_bar,exit_bar,hold_bars,expiry_date,k0_strike,atm_strike,k2_strike,entry_k0,entry_k1,entry_k2,exit_k0,exit_k1,exit_k2,entry_bf,exit_bf,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260401,PE,2026-04-01 14:33:00+05:30,2026-04-01 14:35:00+05:30,2,2026-04-28,51900,52000,52100,1588.0,1630.9,1653.65,1589.75,1632.95,1677.3,-20.15,1.15,30,639.0,605.94,33.06,Revert,2026-04
20260401,PE,2026-04-01 14:37:00+05:30,2026-04-01 14:43:00+05:30,6,2026-04-28,51900,52000,52100,1618.2,1674.05,1706.6,1629.05,1675.0,1727.15,-23.3,6.2,30,885.0,618.31,266.69,Revert,2026-04
20260401,PE,2026-04-01 15:02:00+05:30,2026-04-01 15:03:00+05:30,1,2026-04-28,51900,52000,52100,1626.05,1693.0,1737.0,1678.95,1723.6,1768.85,-22.95,0.6,30,706.5,627.61,78.89,Revert,2026-04
20260402,CE,2026-04-02 12:16:00+05:30,2026-04-02 12:19:00+05:30,3,2026-04-28,50300,50400,50500,1733.05,1690.5,1627.25,1732.85,1677.75,1624.9,-20.7,2.25,30,688.5,620.85,67.65,Revert,2026-04
20260402,CE,2026-04-02 12:25:00+05:30,2026-04-02 12:27:00+05:30,2,2026-04-28,50300,50400,50500,1728.9,1688.5,1618.1,1749.2,1675.05,1618.5,-30.0,17.6,30,1428.0,620.94,807.06,Revert,2026-04
20260402,CE,2026-04-02 12:48:00+05:30,2026-04-02 12:49:00+05:30,1,2026-04-28,50300,50400,50500,1884.05,1837.8,1768.5,1865.6,1812.0,1759.3,-23.05,0.9,30,718.5,660.81,57.69,Revert,2026-04
20260402,CE,2026-04-02 13:35:00+05:30,2026-04-02 13:42:00+05:30,7,2026-04-28,50300,50400,50500,2077.15,2028.15,1953.5,2197.95,2130.0,2066.75,-25.65,4.7,30,910.5,733.35,177.15,Revert,2026-04
20260402,CE,2026-04-02 13:53:00+05:30,2026-04-02 13:54:00+05:30,1,2026-04-28,50300,50400,50500,2213.95,2174.1,2102.2,2213.95,2119.1,2059.25,-32.05,35.0,30,2011.5,754.23,1257.27,Revert,2026-04
20260402,CE,2026-04-02 13:58:00+05:30,2026-04-02 14:00:00+05:30,2,2026-04-28,50300,50400,50500,2110.15,2074.3,2010.15,2190.3,2108.0,2064.65,-28.3,38.95,30,2017.5,738.73,1278.77,Revert,2026-04
20260402,CE,2026-04-02 14:02:00+05:30,2026-04-02 14:07:00+05:30,5,2026-04-28,50300,50400,50500,2181.0,2136.45,2065.05,2214.85,2135.35,2077.65,-26.85,21.8,30,1459.5,750.5,709.0,Revert,2026-04
20260402,CE,2026-04-02 14:08:00+05:30,2026-04-02 14:12:00+05:30,4,2026-04-28,50300,50400,50500,2219.8,2175.15,2095.25,2332.9,2256.1,2199.0,-35.25,19.7,30,1648.5,772.96,875.54,Revert,2026-04
